2026-05-30 10:17:28,298 | CAMERA_MANAGER | INFO | Starting camera c3
2026-05-30 10:17:28,299 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v3.mp4
2026-05-30 10:17:28,302 | CAMERA_MANAGER | INFO | Starting camera c4
2026-05-30 10:17:28,304 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v4.mp4
2026-05-30 10:17:28,318 | CAMERA_MANAGER | INFO | Starting camera c1
2026-05-30 10:17:28,328 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v1.mp4
2026-05-30 10:17:28,332 | CAMERA_MANAGER | INFO | Starting camera c2
2026-05-30 10:17:28,332 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v2.mp4
2026-05-30 10:17:28,735 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:28,825 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:28,896 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:28,951 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:28,951 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:28,969 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:28,975 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:28,993 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:29,005 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:29,076 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:29,100 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:29,139 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:29,153 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:29,206 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:29,223 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:29,261 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:29,267 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:29,346 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:29,364 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:29,402 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:29,404 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:29,491 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:29,491 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:29,522 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:29,522 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:29,618 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:29,618 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:29,666 | CAMERA_MANAGER | INFO | Sending frame from c4
