2026-05-30 11:10:10,883 | DETECTION_SUBSCRIBER | INFO | Detection Subscriber Started
2026-05-30 11:10:10,883 | DETECTION_SUBSCRIBER | INFO | Loading Model : C:\Users\nedur\Downloads\combined_data\new\best.pt
2026-05-30 11:10:12,236 | DETECTION_SUBSCRIBER | INFO | YOLOv7 Loaded Successfully
2026-05-30 11:10:12,308 | DETECTION_SUBSCRIBER | INFO | Waiting For Frames...
2026-05-30 11:10:12,310 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:14,241 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:14,317 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:16,038 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:16,038 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:17,658 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:17,658 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:19,518 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:19,528 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:21,193 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:21,214 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:23,039 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:23,039 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:24,814 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:24,823 | DETECTION_SUBSCRIBER | INFO | Processing : c2
2026-05-30 11:10:26,438 | DETECTION_SUBSCRIBER | INFO | Published To Fire Smoke Queue
2026-05-30 11:10:26,461 | DETECTION_SUBSCRIBER | INFO | Processing : c2
