2026-05-30 11:12:47,226 | ROI | INFO | RabbitMQ Connected
2026-05-30 11:12:47,228 | ROI | INFO | Redis Connected
2026-05-30 11:12:47,343 | ROI | INFO | Waiting For Frames...
2026-05-30 11:12:47,368 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:12:47,422 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:12:47,476 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:12:47,690 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:47,763 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:47,815 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:47,874 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:47,928 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,003 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,068 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,128 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,191 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,254 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,272 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,287 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,309 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,358 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,375 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,384 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,410 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,416 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,439 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,447 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,455 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,473 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,495 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,505 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,523 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,531 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,552 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,560 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,569 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,577 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,587 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,609 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,616 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,631 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,644 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,649 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,671 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,675 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,687 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:48,693 | ROI | INFO | Saved To Redis : fire_smoke_frames
